field,section,idx,description,include,subsection_descr,placeholder,atc_codes
Qualifier2,1,SW,and dental floss ligation splint,,Miscellaneous,9,
Qualifier2,1,SX,and orthodontic band splint,,Miscellaneous,9,
Qualifier2,1,SY,and cast/soldered acid etch/resin-bonded splint,,Miscellaneous,9,
Qualifier2,1,SZ,and acrylic/composite/amalgam with knurled wire splint,,Miscellaneous,9,
Qualifier2,1,T1,and allergens,"e.g. allergen extracts (feather, grass, pollen)",Various agents,17,V01
Qualifier2,1,T2,and other therapeutic product,"e.g. disulfiram, antidotes, deferoxamine, sodium polystyrene sulfonate, ipecac",Various agents,17,V03
Qualifier2,1,T3,and diagnostic agent,"e.g. urine tests, other diagnostic agents (glucose, tuberculin)",Various agents,17,V04
Qualifier2,1,T4,and general nutrients,"e.g. protein supplements, infant formulas, milk substitutes",Various agents,17,V06
Qualifier2,1,T5,and other non-therapeutic product,"e.g. plasters, stoma equipment, sensitivity discs",Various agents,17,V07
Qualifier2,1,T6,and surgical dressing,,Various agents,17,V20
Qualifier2,1,T7,using synthetic blood substitutes,,Miscellaneous,9,
Qualifier2,1,T9,and pharmacological agent NEC,pharmacological agent not elsewhere classified,Various agents,17,
Qualifier2,1,TA,and traction device,,Miscellaneous,9,
Qualifier2,1,TB,and transosseous [mandibular] staple,,Miscellaneous,9,
Qualifier2,1,TC,and rod with hook,,Miscellaneous,9,
Qualifier2,1,TD,and supportive device,,Miscellaneous,9,
Qualifier2,1,TE,and semipermeable device,,Miscellaneous,9,
Qualifier2,1,TF,and (stryker/foster) frame,,Miscellaneous,9,
Qualifier2,1,TG,and soaking (sitz bath),,Miscellaneous,9,
Qualifier2,1,TH,and tub or shower,,Miscellaneous,9,
Qualifier2,1,TJ,and manual suction device,,Miscellaneous,9,
Qualifier2,1,TK,and mechanical suction device,,Miscellaneous,9,
Qualifier2,1,TL,and syringe,,Miscellaneous,9,
Qualifier2,1,TP,and tissue expander,,Miscellaneous,9,
Qualifier2,1,TQ,and tank (hubbard),,Miscellaneous,9,
Qualifier2,1,TR,and whirlpool,,Miscellaneous,9,
Qualifier2,1,TS,and tube NOS,,Miscellaneous,9,
Qualifier2,1,TT,and vacuum device,,Miscellaneous,9,
Qualifier2,1,TW,and vibration device,,Miscellaneous,9,
Qualifier2,1,TX,to floor of mouth using fixation technique,,Miscellaneous,9,
Qualifier2,1,TY,of drainage tube,,Miscellaneous,9,
Qualifier2,1,TZ,and zipper,,Miscellaneous,9,
Qualifier2,1,U1,and red cell concentrate,"e..g packed, frozen, etc.",Blood and blood components,18,
Qualifier2,1,U2,and plasma,"fresh, stored",Blood and blood components,18,
Qualifier2,1,U3,and platelets-apheresis,,Blood and blood components,18,
Qualifier2,1,U4,and platelets,,Blood and blood components,18,
Qualifier2,1,U5,and cryoprecipitate,,Blood and blood components,18,
Qualifier2,1,U6,and leukocytes,"e.g. lymphocytes, granulocytes",Blood and blood components,18,
Qualifier2,1,U7,and stem cells,,Blood and blood components,18,
Qualifier2,1,U8,and cord blood stem cells,,Miscellaneous,9,
Qualifier2,1,U9,using whole blood,,Blood and blood components,18,
Qualifier2,1,UE,using vibrating device,,Miscellaneous,9,
Qualifier2,1,V0,and air or gas NOS,,Gas agents,19,
Qualifier2,1,V1,radioactive pharmaceutical agent,,Miscellaneous,9,
Qualifier2,1,V3,and humidified air,,Gas agents,19,
Qualifier2,1,V4,and carbon dioxide,,Gas agents,19,
Qualifier2,1,V6,and helium,,Gas agents,19,
Qualifier2,1,V7,and nitrogen,,Gas agents,19,
Qualifier2,1,V9,nitrogen replacement,,Gas agents,19,
Qualifier2,1,VO,gas,,Miscellaneous,9,
Qualifier2,1,W0,and other synthetic,"e.g. methyl methacrylate, gelfoam,
microspheres, polystyrene, polyvinyl
alcohol, contour particles, silk particles,
polymer, macroplastique, silicone",Other agents NEC,20,
Qualifier2,1,W1,and augmentation agent,,Other agents NEC,20,
Qualifier2,1,W2,and collagen,,Other agents NEC,20,
Qualifier2,1,W3,and fibrin,,Other agents NEC,20,
Qualifier2,1,W4,and glue,,Other agents NEC,20,
Qualifier2,1,W6,and laminaria,,Other agents NEC,20,
Qualifier2,1,W7,using absorbent agent (e.g. charcoal),,Miscellaneous,9,
Qualifier2,1,W8,and teflon,,Other agents NEC,20,
Qualifier2,1,WJ,wedge resection,,Miscellaneous,9,
Qualifier2,1,X1,and bleaching agent,,Other agents NEC,20,
Qualifier2,1,X2,using cold inducing agent,,Other agents NEC,20,
Qualifier2,1,X3,and drying agent,,Other agents NEC,20,
Qualifier2,1,X4,and dye,,Other agents NEC,20,
Qualifier2,1,X7,and chemocautery agent,"e.g. alcohol, phenol",Other agents NEC,20,
Qualifier2,1,X9,and water,,Other agents NEC,20,
Qualifier2,1,XX,DO NOT USE,"When a complete code consists of Qualifier 1 and Qualifier 3 (i.e., there is no Qualifier 2), Qualifier 2 is replaced with “XX”",Miscellaneous,9,
Qualifier2,1,Z9,and agent NEC,e.g. talc,Other agents NEC,20,
Qualifier3,1,A,autograft,,,,
Qualifier3,1,B,split thickness (skin) autograft,,,,
Qualifier3,1,D,composite graft - xenograft with synthetic tissue,,,,
Qualifier3,1,E,local flap,,,,
Qualifier3,1,F,free flap,,,,
Qualifier3,1,G,pedicled flap,,,,
Qualifier3,1,H,split homograft,,,,
Qualifier3,1,I,related donor homograft,,,,
Qualifier3,1,J,living donor homograft,,,,
Qualifier3,1,K,homograft,,,,
Qualifier3,1,L,xenograft,,,,
Qualifier3,1,M,"homograft, purged",,,,
Qualifier3,1,N,synthetic material,,,,
Qualifier3,1,P,cultured tissue,,,,
Qualifier3,1,Q,combined sources of tissue,,,,
Qualifier3,1,R,fenestrated graft,,,,
Group,2,AA,Meninges and dura mater of brain,"dura mater of brain, epidural space [of brain], subdural space [of brain], fossa (frontal, temporal and posterior clinoid), falx arachnoid tissue of brain",Diagnostic Interventions on the Nervous System,1,
Group,2,AC,Ventricles of brain," aqueduct of Sylvius, cerebral ventricles [lateral, 3rd and 4th], choroid plexus of 3rd and 4th ventricles, Dandy Walker malformation of 4th ventricle, foramen of Monro, Luschka and Magendie",Diagnostic Interventions on the Nervous System,1,
Group,2,AE,Thalamus and basal ganglia,"caudate, hypothalamus, fornix, globus pallidus, internal capsule, lemniscal pathway, lentiform nuclei, putamen, superior and inferior vagal ganglia",Diagnostic Interventions on the Nervous System,1,
Group,2,AF,Pituitary region,"cavernous sinus, craniobuccal pouch hypophysis cerebri, hypophyseal fossa, parasella, petrosal sinus, pituitary fossa, Rathke's pouch, sella turcica, sella, suprasella",Diagnostic Interventions on the Nervous System,1,
Group,2,AG,Pineal gland, pineal recess,Diagnostic Interventions on the Nervous System,1,
Group,2,AJ,Cerebellum,,Diagnostic Interventions on the Nervous System,1,
Group,2,AK,Cerebellopontine angle,"choroid plexus of cerebellopontine angle, cisterna, acoustic [vestibular] nerve within the cerebellopontine angle, facial nerve [intracranial] within cerebellopontine angle",Diagnostic Interventions on the Nervous System,1,
Group,2,AN,Brain,"ansa, brain NEC, cingulum, cingulate cortex, corpus callosum, lobes of brain [parietal, occipital, frontal and temporal], septum pellucidum",Diagnostic Interventions on the Nervous System,1,
Group,2,AP,Brain stem,"midbrain, pons, medulla oblongata, mesencephalon, cerebral peduncle, tectal plate, Chiari malformations of brain stem [hindbrain]",Diagnostic Interventions on the Nervous System,1,
Group,2,AW,Spinal cord,"cauda equina, cervical and thoracic spinal cord, conus medullaris, intramedullary spine, spinal nerve roots, spinal nerve NEC",Diagnostic Interventions on the Nervous System,1,
Group,2,AX,Spinal canal and meninges,"cerebral spinal fluid (CSF) of spine, meninges of spinal cord, dura of spinal cord, spinal theca, subarachnoid (and subdural) space of spine, epidural (or extradural) space of spine",Diagnostic Interventions on the Nervous System,1,
Group,2,AZ,Central nervous system,,Diagnostic Interventions on the Nervous System,1,
Group,2,BA,Cranial nerves," intracranial nerves, olfactory CN I, optic CN II, oculomotor CN III, trochlear CN IV, abducent CN VI, trigeminal CN V, gasserian ganglion[intracranial portion], facial CN VII, glossopharyngeal CN IX [intracranial], hypoglossal CN XII [intracranial], vagus CN X, accessory CN XI [intracranial]",Diagnostic Interventions on the Nervous System,1,
Group,2,BB,Other nerves of head and neck,"facial nerve, accessory nerve CN XI [extracranial], cervical plexus [C2-C4], cranial nerve [extracranial], dental nerve, facial nerve CNVII [extracranial], gasserian ganglion [extracranial portion], glossopharyngeal CN IX [extracranial], hypoglossal nerve CN XII [extracranial], laryngeal nerve, mental nerve, pharyngeal nerve, transverse [superficial] cervical nerve, trigeminal nerve [extracranial], vagus nerve, head and neck region",Diagnostic Interventions on the Nervous System,1,
Group,2,BD,Nerve(s) of the ear,"vestibular nerve, ampullary nerve [anterior, lateral and posterior], auditory nerve, auricular nerve [greater], auriculotemporal nerve, cochlear nerve, saccular nerve, tympanic nerve, utricular nerve, vestibulocochlear nerve CN VIII",Diagnostic Interventions on the Nervous System,1,
Group,2,BF,Sympathetic nerves,"celiac nerve, parasympathetic ganglia, peripheral autonomic nervous system, perivascular plexus, splanchnic nerve, stellate ganglia",Diagnostic Interventions on the Nervous System,1,
Group,2,BG,Brachial plexus,"antebrachial nerve, brachial plexus [lateral, medial and posterior cord], cervical spinal nerves [C5, C6, C7, C8 and T1], intercostal nerve, scalenus plexus, supraclavicular plexus, scapular nerve, spinal nerves [C5, C6, C7, C8 and T1], thoracic nerve, thoracic spinal nerve [T1], thoracodorsal nerve",Diagnostic Interventions on the Nervous System,1,
Group,2,BL,Nerves of trunk,"phrenic nerve, vagus nerve",Diagnostic Interventions on the Nervous System,1,
Group,2,BP,Nerve(s) of hand,"nerves at palmar level, palmar median nerve, digital nerve NOS, median digital nerve, radial digital nerve",Diagnostic Interventions on the Nervous System,1,
Group,2,BR,Nerves of arm,"nerves of upper arm and elbow, nerves of forearm and wrist",Diagnostic Interventions on the Nervous System,1,
Group,2,BS,"Nerve(s) of pelvis, hip and thigh (and lower trunk)","femoral nerve, femoral cutaneous nerve, genitofemoral nerve, ilioinguinal nerve, lumbar plexus, obturator nerve, pelvic plexus, pudendal nerve, sacral plexus, sciatic nerve NOS",Diagnostic Interventions on the Nervous System,1,
Group,2,BT,Nerve(s) of lower leg,"nerves at ankle, nerves at knee, peroneal nerve NEC, saphenous nerve, sural nerve, tarsal tunnel, tibial nerve NEC, sciatic nerve at tibial level",Diagnostic Interventions on the Nervous System,1,
Group,2,BU,Nerves of leg,,Diagnostic Interventions on the Nervous System,1,
Group,2,BX,Peripheral nerves NEC,nerve NEC,Diagnostic Interventions on the Nervous System,1,
Group,2,CC,Cornea,"corneal epithelium, Bowman's membrane [layer][anterior lamina] stroma, Descemet's membrane [posterior elastic lamina] corneal endothelium",Diagnostic Interventions on the Eye and Ocular Adnexa,2,
Group,2,CD,Sclera,"limbus [border], sclerocorneal junction [corneoscleral junction], Schlemm's canal",Diagnostic Interventions on the Eye and Ocular Adnexa,2,
Group,2,CG,Ciliary body,,Diagnostic Interventions on the Eye and Ocular Adnexa,2,
Group,2,CH,Iris,pupil,Diagnostic Interventions on the Eye and Ocular Adnexa,2,
Group,2,CJ,Anterior Chamber,"anterior chamber angle, anterior segment, trabecular meshwork",Diagnostic Interventions on the Eye and Ocular Adnexa,2,
Group,2,CM,Vitreous,,Diagnostic Interventions on the Eye and Ocular Adnexa,2,
Group,2,CN,Retina,,Diagnostic Interventions on the Eye and Ocular Adnexa,2,
Group,2,CP,Soft tissue of orbit and eyeball NEC,"eyeball NOS, soft tissue of orbit, fascia of eye",Diagnostic Interventions on the Eye and Ocular Adnexa,2,
Group,2,CQ,Ocular muscles and tendons,,Diagnostic Interventions on the Eye and Ocular Adnexa,2,
Group,2,CS,Conjunctiva,inner eyelid,Diagnostic Interventions on the Eye and Ocular Adnexa,2,
Group,2,CU,Lacrimal excretory system,"lacrimal ducts, lacrimal sac, lacrimal gland, nasolacrimal punctum, nasolacrimal canaliculi, nasolacrimal sac, nasolacrimal duct",Diagnostic Interventions on the Eye and Ocular Adnexa,2,
Group,2,CX,Eyelid NEC,"upper eyelid with lower eyelid, lower eyelid, upper eyelid, skin of eyelid, eyelashes, eyelash follicles, canthus, epicanthal fold, tarsus, meibomian glands, eyelid retractors [Muller's muscle and capsulo-palpebral fascia]",Diagnostic Interventions on the Eye and Ocular Adnexa,2,
Group,2,CZ,Eye NEC,"eyeball and surrounding structure, eye socket [of eviscerated eye], lens",Diagnostic Interventions on the Eye and Ocular Adnexa,2,
Group,2,DA,External ear NEC,"auricle, pinna, cartilage of ear [helix, fossa triangularis, scapha, concha, tragus, antitragus, antihelix]",Diagnostic Interventions on the Ear and Mastoid (process),3,
Group,2,DE,External auditory meatus,external auditory canal,Diagnostic Interventions on the Ear and Mastoid (process),3,
Group,2,DF,Tympanic membrane,"eardrum, plica chordae tympani",Diagnostic Interventions on the Ear and Mastoid (process),3,
Group,2,DJ,Eustachian tube,auditory tube,Diagnostic Interventions on the Ear and Mastoid (process),3,
Group,2,DK,Middle ear NEC,"attic, tympanic cavity (with contents), tympanomastoid cavity (with contents), middle ear NOS, ossicular chain NEC",Diagnostic Interventions on the Ear and Mastoid (process),3,
Group,2,DL,Mastoid (process),"mastoid bone, mastoid process, petrous pyramid air cells, petrous apex, mastoid portion of temporal bone",Diagnostic Interventions on the Ear and Mastoid (process),3,
Group,2,DM,Cochlea,,Diagnostic Interventions on the Ear and Mastoid (process),3,
Group,2,DR,Inner ear NEC,"inner ear NOS, vestibular system, labyrinth NOS, vestibule, semi-circular canals, semi-circular ducts, osseous labyrinth, membranous labyrinth, round window, oval window",Diagnostic Interventions on the Ear and Mastoid (process),3,
Group,2,DZ,Ear NEC,,Diagnostic Interventions on the Ear and Mastoid (process),3,
Group,2,EA,Cranium," frontal, parietal, temporal, occipital bone, cranial suture or ligament, cranial base, skull NOS",Diagnostic Interventions on the Orocraniofacial Region,4,
Group,2,EB,Zygoma,"zygomatic arch(es), malar bone, facial bone NOS",Diagnostic Interventions on the Orocraniofacial Region,4,
Group,2,ED,Maxilla,"alveolar process [ridge, arch]",Diagnostic Interventions on the Orocraniofacial Region,4,
Group,2,EE,Mandible,,Diagnostic Interventions on the Orocraniofacial Region,4,
Group,2,EL,Temporomandibular joint [TMJ],"joint capsule, bursa, articular disc, meniscus, ligament, synovial lining [cavity], coronoid process of mandible (alone) mandibular condyle (alone)",Diagnostic Interventions on the Orocraniofacial Region,4,
Group,2,EN,Alveolar ridge mandibular,"mandibular alveolar process, arch",Diagnostic Interventions on the Orocraniofacial Region,4,
Group,2,EP,Muscles of head and neck,"muscles of head: occipitofrontalis, pterygoid, temporalis, temporoparietal, zygomaticus major and minor palatini, muscles of the face, muscles of the neck: buccinator, cricothyroid, digastric, geniohyoid, mylohyoid, omohyoid, platysma, pterygoid, scalene, sternocleidomastoid, sternohyoid, thyrohyoid. Fascia of hae and neck: temporal, buccopharyngeal, parotid and masseter",Diagnostic Interventions on the Orocraniofacial Region,4,
Group,2,EQ,Soft tissue of head and neck,"soft tissue of head and neck NOS, soft tissue (abscess, hematomas, wound or neoplasm, sinuses, fistulae",Diagnostic Interventions on the Orocraniofacial Region,4,
Group,2,ES,Nasal cartilage,"septal cartilage, alar cartilage [lower lateral], nasal cartilage [upper, lateral], nasal cartilage alone, columella. EXCLUDES nasal cartilage with bone (see ET)",Diagnostic Interventions on the Orocraniofacial Region,4,
Group,2,ET,Nose,"nasal bones, turbinates, nasal cavity, nose NEC, nasal fossa, vestibule, choanae, meatus and mucosa, nasal bones with cartilage, nasal cartilage",Diagnostic Interventions on the Orocraniofacial Region,4,
Group,2,EY,Paranasal sinuses,"multiple nasal sinuses (2 or more of the following: ethmoidal, sphenoidal, maxillary, frontal), pansinus(es), nasal sinus NOS, nasal sinus NEC",Diagnostic Interventions on the Orocraniofacial Region,4,
Group,2,FA,Nasopharynx,,Diagnostic Interventions on the Orocraniofacial Region,4,
Group,2,FB,Hard palate,"palatine bone, palate NOS",Diagnostic Interventions on the Orocraniofacial Region,4,
Group,2,FC,Soft palate,,Diagnostic Interventions on the Orocraniofacial Region,4,
Group,2,FD,Gingiva,"gums, oral vestibule, periodontal pocket",Diagnostic Interventions on the Orocraniofacial Region,4,
Group,2,FG,Oral and buccal mucosa,"buccal mucosa [fat pad, glands], buccal sulcus, labial frenulum, labial sulcus, oral papilla, oral mucosa NEC",Diagnostic Interventions on the Orocraniofacial Region,4,
Group,2,FH,Floor of mouth,"retromolar trigone, submandibular space, sublingual space",Diagnostic Interventions on the Orocraniofacial Region,4,
Group,2,FJ,Tongue,"muscles of tongue [ intrinsic and extrinsic] genioglossus styloglossus, hyoglossus, lingual frenulum, lingual sulcus, sublingual tonsil [ lymph follicles on posterior third of tongue]",Diagnostic Interventions on the Orocraniofacial Region,4,
Group,2,FK,Mouth,Oral cavity NEC,Diagnostic Interventions on the Orocraniofacial Region,4,
Group,2,FP,Salivary glands and ducts NEC,,Diagnostic Interventions on the Orocraniofacial Region,4,
Group,2,FQ,Uvula,,Diagnostic Interventions on the Orocraniofacial Region,4,
Group,2,FR,Tonsils and adenoids,"adenoid, palatine tonsil, pharyngeal tonsil",Diagnostic Interventions on the Orocraniofacial Region,4,
Group,2,FT,Thyroglossal duct,,Diagnostic Interventions on the Orocraniofacial Region,4,
Group,2,FU,Thyroid gland,thyroid isthmus. EXCLUDES thyroglossal duct or tract (see 2.FT),Diagnostic Interventions on the Orocraniofacial Region,4,
Group,2,FV,Parathyroid gland,,Diagnostic Interventions on the Orocraniofacial Region,4,
Group,2,FX,Oropharynx,"retromaxillary, suprahyoid, posterior and lateral oropharynx, valleculae, hypopharynx, oropharynx with nasopharynx, pharynx NOS",Diagnostic Interventions on the Orocraniofacial Region,4,
Group,2,GE,Larynx NEC,"larynx NOS, pharynx with larynx, glottis (vocal cord), supraglottis, subglottis, laryngeal cartilage",Diagnostic Interventions on the Respiratory System,5,
Group,2,GJ,Trachea,,Diagnostic Interventions on the Respiratory System,5,
Group,2,GK,Thymus,ectopic thymus tissue,Diagnostic Interventions on the Respiratory System,5,
Group,2,GM,Bronchus NEC,"main bronchus NOS, hilus of lung, left main bronchus, right main bronchus, bronchus NOS, bronchial region, carina",Diagnostic Interventions on the Respiratory System,5,
Group,2,GT,Lung NEC,"lobe of lung, pulmonary NOS, base of lung, borders and surface of lung, parenchyma of lung, multiple overlapping sites of lung",Diagnostic Interventions on the Respiratory System,5,
Group,2,GV,Pleura,"parietal pleura, visceral pleura, pleural cavity, pleural space",Diagnostic Interventions on the Respiratory System,5,
Group,2,GW,Mediastinum,"anterior mediastinum, posterior mediastinum, superior mediastinum, inferior mediastinum, middle mediastinum, mediastinal wall and cavity",Diagnostic Interventions on the Respiratory System,5,
Group,2,GX,Diaphragm,,Diagnostic Interventions on the Respiratory System,5,
Group,2,GY,Thoracic cavity NEC,"Chest NOS, sinuses/fistulous tract",Diagnostic Interventions on the Respiratory System,5,
Group,2,GZ,Respiratory system NEC,,Diagnostic Interventions on the Respiratory System,5,
Group,2,HZ,Heart NEC,"combined right and left heart, heart NOS, heart tissue NEC",Diagnostic Interventions on the Cardiovascular System,6,
Group,2,ID,Aorta NEC,"overlapping sites of aorta [thoracoabdominal aorta], aorta NOS",Diagnostic Interventions on the Cardiovascular System,6,
Group,2,IJ,Coronary arteries,"right and left coronary arteries and all tributaries [circumflex, left anterior descending, right marginal branch]",Diagnostic Interventions on the Cardiovascular System,6,
Group,2,IL,Vessels of heart,coronary arteries and/or veins,Diagnostic Interventions on the Cardiovascular System,6,
Group,2,IM,Pulmonary artery,"ductus arteriosus, pulmonary artery [main, right, left], pulmonary artery bifurcation",Diagnostic Interventions on the Cardiovascular System,6,
Group,2,JE,Carotid artery,"common carotid arteries, internal carotid arteries, external carotid arteries, carotid bifurcation",Diagnostic Interventions on the Cardiovascular System,6,
Group,2,JW,Intracranial vessels,"ophthalmic vessels, basilar arteries, Circle of Willis, cerebral vessels [anterior, middle, posterior communicating], anterior choroidal vessels, meningeal vessels [anterior, posterior], cerebellar vessels, pontine artery, dural venous sinuses [superior saggital sinus,inferior saggital sinus ,straight sinus, transverse sinuses sigmoid sinuses, cavernous sinuses, superior petrosal sinuses, inferior petrosal sinuses], intracranial vessels NOS",Diagnostic Interventions on the Cardiovascular System,6,
Group,2,JX,"Other vessels of head, neck and spine NEC","superior thyroid vessels, ascending pharyngeal vessels, lingual, facial and occipital vessels, posterior auricular vessels, superficial temporal vessels, maxillary vessels, hypophyseal vessels, ganglionic vessels, caroticotympanic vessels, pterygoid vessels, cavernous vessels, subclavian vessels, vertebral vessels, extracranial vessels NEC, jugular veins",Diagnostic Interventions on the Cardiovascular System,6,
Group,2,JY,Thoracic vessels NEC,"mediastinal vessels, bronchial vessels, sternal vessels, anterior intercostal vessels, superior epigastric vessels, esophageal vessels, pulmonary vein, vena cava (superior and inferior), brachiocephalic arteries, internal mammary artery",Diagnostic Interventions on the Cardiovascular System,6,
Group,2,JZ,Vessels of arm NEC,arteries and/or veins of arm,Diagnostic Interventions on the Cardiovascular System,6,
Group,2,KE,Abdominal arteries NEC,"mesenteric arteries [inferior, superior], gastroepiploic arteries, renal arteries, celiac arteries, hepatic arteries, common iliac arteries, gastric arteries, splenic arteries, umbilical arteries, inferior phrenic arteries, mesenteric artery with aorta, abdominal arteries NEC",Diagnostic Interventions on the Cardiovascular System,6,
Group,2,KG,Arteries of leg NEC,"femoral arteries, popliteal arteries, tibial arteries [anterior, posterior], dorsalis pedis arteries, lower limb arteries NEC",Diagnostic Interventions on the Cardiovascular System,6,
Group,2,KQ,Abdominal veins NEC,"common iliac veins, portal veins, renal veins, suprarenal veins, mesenteric veins [superior, inferior], splenic veins, hepatic veins, visceral veins, abdominal veins NOS",Diagnostic Interventions on the Cardiovascular System,6,
Group,2,KR,Veins of leg NEC,"saphenous veins, femoral veins, popliteal veins, tibial veins [anterior, posterior], peroneal veins, perforator veins, lower limb veins NOS",Diagnostic Interventions on the Cardiovascular System,6,
Group,2,KT,"Vessels of the pelvis, perineum and gluteal region","internal and external portion of iliac vessels, epigastric vessels, vesical vessels, uterine vessels, vaginal vessels, rectal vessels, obturator vessels, internal pudendal artery, penile vessels, pelvic vessels NEC",Diagnostic Interventions on the Cardiovascular System,6,
Group,2,LZ,Circulatory system NEC,blood,Diagnostic Interventions on the Cardiovascular System,6,
Group,2,MA,"Lymph node(s), head region","preauricular [anterior auricular] nodes, postauricular [retroauricular] nodes, occipital nodes, facial nodes, parotid nodes, buccal nodes",Diagnostic Interventions on the Lymphatic System,7,
Group,2,MC,"Lymph node(s), cervical","Cervical nodes [superficial and deep], level I nodes [submandibular and submental trigone], level II nodes [upper jugular], level III nodes [middle jugular], level IV nodes [lower jugular], level V nodes [posterior triangle including spinal accessory, transverse cervical and supraclavicular nodes), level VI nodes [anterior/central compartment including paratracheal, pretracheal, parathyroid, precricoid, Delphian and prelaryngeal nodes located above the suprasternal notch], retropharyngeal nodes",Diagnostic Interventions on the Lymphatic System,7,
Group,2,MD,"Lymph node(s), axillary","deep axillary nodes, superficial axillary nodes, lateral nodes, pectoral nodes, subscapular nodes, apical nodes [subclavicular], central nodes",Diagnostic Interventions on the Lymphatic System,7,
Group,2,ME,"Lymph node(s), mediastinal","anterior and posterior mediastinal nodes, aortic nodes [subaortic and para-aortic nodes of the ascending aorta and aortic arch], inferior mediastinal nodes [subcarinal, paraesophageal and pulmonary ligament nodes], tracheobronchial nodes [tracheal/paratracheal, deep and inferior, tracheobronchial , bronchopulmonary and pulmonary], superior mediastinal nodes [pre-tracheal, upper paratracheal, pre-carinal and lower paratracheal nodes located below the suprasternal notch]",Diagnostic Interventions on the Lymphatic System,7,
Group,2,MF,"Lymph node(s), intrathoracic NEC","mediastinal nodes with other intrathoracic nodes, parasternal nodes [internal mammary], intercostal nodes, diaphragmatic nodes, nodes of the thoracic organs, parietal nodes of thoracic wall",Diagnostic Interventions on the Lymphatic System,7,
Group,2,MG,"Lymph node(s), intra-abdominal"," retroperitoneal nodes, intra-aortocaval nodes [preaortic, lateral aortic, periaortic nodes located below the diaphragm], para-caval nodes, retrocrural nodes, mesenteric nodes, nodes of the abdominal organs",Diagnostic Interventions on the Lymphatic System,7,
Group,2,MH,"Lymph node(s), pelvic","external iliac nodes, common iliac nodes, internal iliac nodes, circumflex nodes, sacral nodes, intrapelvic nodes, obturator nodes, paracervical nodes, parametrial nodes, presymphysical nodes",Diagnostic Interventions on the Lymphatic System,7,
Group,2,MJ,"Lymph node(s), inguinal","superficial and deep inguinal nodes, inguinofemoral nodes, lymph nodes of groin region",Diagnostic Interventions on the Lymphatic System,7,
Group,2,MK,"Lymph node(s), extremity NEC","anterior tibial nodes, popliteal nodes, femoral nodes, tibial nodes, other lower limb nodes, brachial nodes, anti-cubital nodes, and other upper limb nodes.",Diagnostic Interventions on the Lymphatic System,7,
Group,2,MM,Thoracic duct,,Diagnostic Interventions on the Lymphatic System,7,
Group,2,MZ,Lymphatic system NEC,"lymphatic vessels NOS, lymphatic vessels of the head and neck region, thoracic region, abdomen/pelvis, arm, leg",Diagnostic Interventions on the Lymphatic System,7,
Group,2,NA,Esophagus,"Cardioesophageal junction, cardiac orifice, ostium, notch, esophagus [cervical, thoracic and abdominal]",Diagnostic Interventions on the Digestive and Hepatobiliary Tracts and Other Sites within the Abdominal Cavity NEC,8,
Group,2,NF,Stomach,"Body, fundus of stomach, body of stomach with pylorus, pyloric antrum, gastric antrum, stomach NEC, NOS",Diagnostic Interventions on the Digestive and Hepatobiliary Tracts and Other Sites within the Abdominal Cavity NEC,8,
Group,2,NK,Small intestine,"small bowel, duodenum, jejunum and ileum, Meckel's diverticulum",Diagnostic Interventions on the Digestive and Hepatobiliary Tracts and Other Sites within the Abdominal Cavity NEC,8,
Group,2,NM,Large intestine,"ascending colon, cecum, diaphragmatic flexure, hepatic flexure, sigmoid flexure, colon [right, left, NOS], transverse colon, descending colon, ileocecal valve, iliopelvic colon, splenic flexure, sigmoid colon",Diagnostic Interventions on the Digestive and Hepatobiliary Tracts and Other Sites within the Abdominal Cavity NEC,8,
Group,2,NQ,Rectum,"rectosigmoid juncture [colon], pelvirectal juncture, anorectal juncture above dentate line",Diagnostic Interventions on the Digestive and Hepatobiliary Tracts and Other Sites within the Abdominal Cavity NEC,8,
Group,2,NT,Anus,"anorectal juncture, anal sphincter, anal cushion, hemorrhoidal plexus [lying within anal cushion], levator ani muscle, muscularis propria of anal canal",Diagnostic Interventions on the Digestive and Hepatobiliary Tracts and Other Sites within the Abdominal Cavity NEC,8,
Group,2,OA,Liver,"lobe of liver, segment I through VIII of liver, caudate, quadrate of liver, liver NOS, subphrenic space",Diagnostic Interventions on the Digestive and Hepatobiliary Tracts and Other Sites within the Abdominal Cavity NEC,8,
Group,2,OB,Spleen,,Diagnostic Interventions on the Digestive and Hepatobiliary Tracts and Other Sites within the Abdominal Cavity NEC,8,
Group,2,OD,Gallbladder,"fundus, body, neck of gallbladder, Luschka's ducts of gall bladder [wall], gall bladder with associated bile ducts",Diagnostic Interventions on the Digestive and Hepatobiliary Tracts and Other Sites within the Abdominal Cavity NEC,8,
Group,2,OE,Bile ducts,"biliary ducts, common bile duct [CBD], cystic duct, hepatic ducts [intra and extra], ampulla and sphincter of Oddi, papilla [ampulla] and sphincter of Vater, hepatopancreatic ampulla, pancreatic duct, duct of Santorini, Wirsung",Diagnostic Interventions on the Digestive and Hepatobiliary Tracts and Other Sites within the Abdominal Cavity NEC,8,
Group,2,OJ,Pancreas,"head, body, tail of pancreas, islets of Langerhans [endocrine pancreas]",Diagnostic Interventions on the Digestive and Hepatobiliary Tracts and Other Sites within the Abdominal Cavity NEC,8,
